1502298070.781783019,0.000011,-0.000124,-0.000119,1.000000,-0.000011,-0.000087,-0.000099
1502298070.786781019,0.000045,-0.000497,-0.000477,1.000000,-0.000017,-0.000174,-0.000199
1502298070.801781019,0.000284,-0.003113,-0.002980,1.000000,-0.000015,-0.000417,-0.000484
1502298070.806781019,0.000410,-0.004482,-0.004289,1.000000,-0.000007,-0.000487,-0.000569
1502298070.831781019,0.001393,-0.015049,-0.014400,0.999999,0.000052,-0.000755,-0.000887
1502298070.836785019,0.001659,-0.017907,-0.017138,0.999999,0.000066,-0.000791,-0.000928
1502298070.866782019,0.003741,-0.040198,-0.038576,0.999999,0.000130,-0.000917,-0.001064
1502298070.871785019,0.000009,-0.000028,0.000049,0.717046,-0.693900,-0.065931,-0.000005
1502298070.891782019,0.000025,-0.000101,0.000064,0.717075,-0.693871,-0.065928,0.000017
1502298070.901781019,0.000040,-0.000164,0.000059,0.717084,-0.693864,-0.065908,0.000030
1502298070.906782019,0.000047,-0.000195,-0.000016,0.716995,-0.693956,-0.065904,-0.000100
1502298070.931781019,0.000106,-0.000455,-0.000088,0.716984,-0.693973,-0.065845,-0.000086
1502298070.936781019,0.001741,0.000270,0.000244,0.716871,-0.694149,-0.065215,0.000537
1502298070.966783019,0.002346,0.000000,0.000175,0.716873,-0.694156,-0.065108,0.000540
1502298070.971784019,0.001575,-0.001759,-0.000574,0.713340,-0.698924,-0.048687,0.016792
1502298070.981781019,0.002061,-0.001909,-0.000663,0.713325,-0.698939,-0.048673,0.016789
1502298070.986781019,0.002322,-0.001983,-0.000708,0.713313,-0.698952,-0.048673,0.016788
1502298070.996782019,0.002882,-0.002124,-0.000795,0.713281,-0.698984,-0.048681,0.016784
1502298071.001782019,0.003181,-0.002190,-0.000836,0.713264,-0.699001,-0.048689,0.016780
1502298071.006781019,0.003435,0.001506,-0.000019,0.713181,-0.699069,-0.048962,0.016678
1502298071.031781019,0.005144,0.001790,-0.000029,0.713161,-0.699084,-0.049042,0.016651
1502298071.036781019,0.002073,-0.000287,-0.000193,0.713413,-0.698743,-0.050764,0.014920
1502298071.056784019,0.003173,-0.000196,-0.000165,0.713474,-0.698677,-0.050828,0.014885
