0,0,0.390522,1.360822,-0.769903,0.278505,1.312238,-0.762121,0.331461,1.362565,-0.769649,0.22068,1.676758,0.312818,0.330732,1.365266,-0.808319,0.300656,1.363895,-0.768814,0.166724,1.67161,0.304491,0.226899,1.540461,0.322404,0.168986,1.53971,0.313756,,,
1,0.008333,0.390528,1.36083,-0.769914,0.278512,1.312225,-0.762161,0.331467,1.362559,-0.769653,0.220589,1.676762,0.312761,0.330727,1.365264,-0.808317,0.300675,1.363893,-0.768824,0.166632,1.671601,0.304465,0.2268,1.540473,0.322389,0.168918,1.539706,0.313796,,,
2,0.016667,0.390188,1.360874,-0.769742,0.278505,1.312229,-0.76217,0.331467,1.362556,-0.769658,0.220489,1.676796,0.312696,0.330733,1.365262,-0.808321,0.30065,1.363885,-0.768815,0.166539,1.671611,0.304424,0.226699,1.540421,0.322448,0.168848,1.539706,0.31378,,,
3,0.025,0.390182,1.360875,-0.769741,0.278499,1.312237,-0.762157,0.33147,1.362562,-0.769654,0.220405,1.676813,0.31267,0.330719,1.365268,-0.808329,0.300658,1.363889,-0.768818,0.166453,1.671619,0.304387,0.226629,1.54043,0.322435,0.168766,1.539714,0.313786,,,
4,0.033333,0.390537,1.360822,-0.769907,0.278502,1.312245,-0.762102,0.331474,1.362565,-0.76966,0.220333,1.676819,0.312615,0.330728,1.365256,-0.808314,0.300658,1.363891,-0.768816,0.166379,1.671611,0.304347,0.226549,1.540426,0.322411,0.168708,1.539706,0.313788,,,
5,0.041667,0.390557,1.360825,-0.769907,0.278513,1.312255,-0.762106,0.331474,1.362557,-0.76966,0.220262,1.676823,0.312562,0.330735,1.365267,-0.808327,0.300654,1.363892,-0.76882,0.166307,1.67161,0.304294,0.226478,1.540414,0.322415,0.168644,1.539691,0.313798,,,
6,0.05,0.390568,1.360822,-0.769908,0.278509,1.312247,-0.76211,0.33147,1.362561,-0.769656,0.220192,1.67684,0.312524,0.330728,1.36527,-0.808323,0.300654,1.363885,-0.768812,0.166243,1.671617,0.304236,0.226396,1.540426,0.322369,0.168574,1.539703,0.313754,,,
7,0.058333,0.39057,1.360826,-0.769903,0.278509,1.312245,-0.762111,0.331462,1.362564,-0.769649,0.220129,1.676862,0.31246,0.330734,1.365279,-0.808328,0.300645,1.363893,-0.768812,0.16617,1.671646,0.304159,0.226324,1.540445,0.322344,0.168501,1.539718,0.313722,,,
8,0.066667,0.39056,1.360823,-0.769902,0.278515,1.312239,-0.76217,0.331466,1.362563,-0.769655,0.220067,1.67685,0.312417,0.330744,1.365262,-0.808319,0.300663,1.363891,-0.768819,0.166126,1.671636,0.304111,0.226233,1.540396,0.322201,0.168445,1.539711,0.313674,,,
9,0.075,0.390191,1.36086,-0.769741,0.278506,1.312259,-0.762117,0.331469,1.362563,-0.769657,0.21999,1.676811,0.312252,0.330733,1.365269,-0.808324,0.300654,1.363879,-0.768821,0.166093,1.671626,0.304055,0.226179,1.540405,0.322158,0.168384,1.539701,0.313627,,,
