0,0,0.73263,1.322998,-0.685734,0.644158,1.324527,-0.700832,0.673395,1.323987,-0.69549,0.680432,1.326711,-0.73498,0.496768,1.294594,0.101467,0.456362,1.155658,0.077635,0.621455,1.274725,-0.694924,0.444138,1.287192,0.088239,0.513214,1.159205,0.090634,,,,,,
1,0.008333,0.732634,1.322995,-0.685734,0.644173,1.324533,-0.700839,0.67337,1.324015,-0.695499,0.68043,1.326711,-0.734982,0.496919,1.294614,0.101466,0.456456,1.155695,0.077583,0.621444,1.274726,-0.694914,0.444248,1.287228,0.088223,0.513352,1.159241,0.090719,,,,,,
2,0.016667,0.732627,1.322999,-0.685743,0.644172,1.324532,-0.70083,0.673399,1.323994,-0.695484,0.680433,1.326714,-0.734979,0.497107,1.294628,0.101573,0.456558,1.15573,0.077533,0.621462,1.274728,-0.694922,0.444351,1.287261,0.088237,0.513447,1.159258,0.090717,,,,,,
3,0.025,0.732644,1.323004,-0.685742,0.64417,1.324536,-0.700835,0.673398,1.323985,-0.695483,0.680435,1.326713,-0.734978,0.497216,1.294636,0.101572,0.456687,1.15574,0.07759,0.621454,1.274725,-0.694919,0.444452,1.287261,0.088235,0.513536,1.159261,0.090744,,,,,,
4,0.033333,0.732632,1.322997,-0.685734,0.644163,1.324539,-0.700839,0.673401,1.32399,-0.695487,0.68043,1.326715,-0.734974,0.497302,1.294666,0.10158,0.456764,1.155765,0.077565,0.621446,1.274741,-0.69491,0.444534,1.287273,0.088195,0.513611,1.159272,0.090765,,,,,,
5,0.041667,0.732637,1.323001,-0.685734,0.644174,1.32454,-0.700834,0.673394,1.323991,-0.695483,0.680433,1.326712,-0.734974,0.49737,1.294693,0.101557,0.456852,1.155801,0.077474,0.621452,1.274731,-0.694916,0.444617,1.287295,0.088157,0.513665,1.159287,0.090773,,,,,,
6,0.05,0.732637,1.323007,-0.685737,0.644173,1.324525,-0.700829,0.673402,1.323989,-0.695488,0.680437,1.326709,-0.734975,0.497424,1.294692,0.101544,0.456912,1.155805,0.077453,0.621449,1.274741,-0.69493,0.444708,1.287301,0.088119,0.513711,1.159282,0.090779,,,,,,
7,0.058333,0.732645,1.323002,-0.685735,0.644167,1.324532,-0.700835,0.673404,1.323984,-0.695482,0.680443,1.326714,-0.734981,0.497475,1.294711,0.101515,0.456955,1.155799,0.077334,0.621449,1.274739,-0.694925,0.444818,1.28732,0.088069,0.513746,1.159299,0.090774,,,,,,
8,0.066667,0.732634,1.323002,-0.685731,0.644168,1.324532,-0.700826,0.673375,1.324007,-0.695479,0.680432,1.326715,-0.734976,0.497505,1.294752,0.101487,0.457027,1.155847,0.077386,0.621461,1.274718,-0.694915,0.444877,1.287359,0.08803,0.513775,1.159318,0.090764,,,,,,
9,0.075,0.732626,1.323009,-0.685731,0.644169,1.32454,-0.700837,0.673369,1.324005,-0.695481,0.680434,1.326712,-0.734972,0.497547,1.294783,0.101443,0.457075,1.15589,0.077327,0.621445,1.274732,-0.694918,0.444944,1.287416,0.087939,0.513817,1.159339,0.090713,,,,,,
10,0.083333,0.732598,1.323023,-0.685717,0.644161,1.324541,-0.700839,0.6734,1.323989,-0.695481,0.680447,1.32671,-0.734974,0.497607,1.294822,0.1015,0.457136,1.155951,0.077218,0.621453,1.274736,-0.694928,0.444982,1.287445,0.087898,0.513848,1.159363,0.090665,,,,,,
11,0.091667,0.732633,1.322997,-0.685731,0.644172,1.324538,-0.700838,0.6734,1.323989,-0.695481,0.680437,1.326718,-0.734981,0.497653,1.294884,0.101409,0.457182,1.155993,0.077133,0.621467,1.274735,-0.694925,0.445027,1.287484,0.087835,0.513893,1.159394,0.090588,,,,,,
12,0.1,0.732639,1.323003,-0.685742,0.644162,1.324533,-0.700837,0.673397,1.323992,-0.695482,0.68044,1.326714,-0.734978,0.497674,1.294919,0.101362,0.45724,1.156042,0.077034,0.621441,1.274736,-0.694904,0.445075,1.287531,0.087782,0.513937,1.159428,0.090485,,,,,,
13,0.108333,0.732633,1.323004,-0.685736,0.64418,1.324527,-0.700829,0.673401,1.323986,-0.69548,0.680432,1.326714,-0.734978,0.4977,1.294952,0.101306,0.457271,1.156088,0.076944,0.621448,1.274732,-0.694918,0.445097,1.287568,0.087734,0.513995,1.15951,0.090345,,,,,,
14,0.116667,0.732637,1.323007,-0.685742,0.64417,1.32453,-0.700823,0.673364,1.324009,-0.695491,0.680434,1.326707,-0.734974,0.497718,1.295004,0.101254,0.457304,1.156161,0.076836,0.621454,1.274722,-0.69492,0.445125,1.287624,0.087705,0.514018,1.159546,0.090212,,,,,,
15,0.125,0.732627,1.323003,-0.68573,0.64417,1.324534,-0.700829,0.673393,1.323994,-0.695481,0.680426,1.326716,-0.734976,0.497721,1.295057,0.1012,0.45733,1.156209,0.07675,0.621456,1.274733,-0.694918,0.445139,1.287686,0.087669,0.514043,1.159595,0.090111,,,,,,
16,0.133333,0.732632,1.322992,-0.685729,0.644162,1.324533,-0.700831,0.673371,1.324007,-0.695489,0.680437,1.326712,-0.734981,0.497739,1.295117,0.101133,0.45735,1.156277,0.076648,0.621465,1.274714,-0.694935,0.445144,1.287745,0.087618,0.514061,1.159649,0.090005,,,,,,
17,0.141667,0.732625,1.323001,-0.685736,0.644161,1.324531,-0.70083,0.673373,1.324009,-0.695489,0.680426,1.326715,-0.734971,0.497738,1.295168,0.101084,0.45737,1.156339,0.076562,0.621463,1.274724,-0.69493,0.445147,1.287794,0.087575,0.514134,1.159723,0.089854,,,,,,
